CMUN,POP21
09247,22
09248,87
09249,53
09250,287
09251,423
09253,115
09255,84
09256,485
09259,252
09257,84
09258,165
09261,511
09262,175
09265,37
09266,99
09267,117
09268,99
09269,40
09270,165
09272,294
09273,56
09274,1120
09275,190
09276,513
09277,120
09279,255
09281,157
09280,30
09283,43
09287,274
09288,117
09289,1596
09292,74
09294,117
09901,357
09295,50
09298,79
09301,872
09297,379
09302,98
09303,82
09304,232
09306,95
09307,104
09308,63
09309,336
09310,15
09311,66
09314,106
09316,101
09312,102
09315,564
09317,21
09318,57
09321,2196
09323,64
09325,177
09326,193
09327,29
09328,64
09329,135
09330,1980
09332,189
09334,51
09335,94
09337,156
09338,318
09339,151
09340,69
09360,27
09343,100
09345,132
09346,101
09347,152
09348,147
09350,518
09351,66
09352,104
09353,95
09354,35
09355,85
09356,54
09358,262
09361,115
09362,257
09363,963
09365,25
09366,73
09368,28
09369,469
09372,289
09373,445
09374,113
09375,41
09377,800
09378,34
09380,73
09381,28
09382,22
09384,329
09386,73
09387,120
09388,33
09389,76
09390,591
09391,397
09392,56
09394,757
09395,142
09396,167
09398,68
09400,355
09403,99
09405,124
09406,342
09408,45
09904,530
09908,488
09409,132
09410,3987
09411,169
09902,482
09905,409
09412,901
09413,456
09414,194
09415,339
09416,50
09417,40
09418,81
09419,67
09407,24
09422,19
09421,276
09423,26
09427,1484
09428,97
09429,57
09430,27
09431,115
09432,168
09433,58
09434,1853
09437,291
09438,707
09439,1454
09440,86
09441,99
09442,415
09443,155
09444,64
09445,44
09446,10
09447,44
09448,225
09449,114
09450,24
09451,274
09454,39
09455,48
09456,151
09903,4029
09458,690
09460,176
09463,258
09464,42
09466,122
09467,74
09471,209
09472,52
09473,90
09476,68
09424,38
09425,532
09478,46
09480,117
09482,34
09483,207
09485,56
10001,359
10002,400
10003,560
10004,813
10005,587
10006,1393
10903,933
10007,681
10008,1386
10009,279
10010,2486
10012,610
10013,299
10011,568
10014,2035
10015,729
10016,372
10017,783
10018,1751
10019,1700
10020,1796
10021,5663
10023,844
10022,433
10024,749
10025,363
10026,745
10027,79
10028,102
10029,416
10030,485
10031,187
10032,1790
10033,419
10034,344
10035,2141
10036,323
10037,95418
10038,95
10039,417
10040,464
10041,1161
10042,78
10043,824
10044,1622
10045,1024
10046,198
10047,1080
10048,225
10049,4516
10050,1059
10051,383
10052,178
10053,277
10056,556
10057,129
10054,531
10055,787
10058,1343
10059,344
10060,1021
10061,1801
10062,424
10063,153
10064,1617
10065,217
10066,192
10067,12330
10068,847
10069,837
10070,684
10071,107
10072,897
10073,862
10075,264
10076,902
10077,700
10079,924
10078,358
10080,374
10081,178
10082,1955
10083,96
10084,1413
10085,382
10086,318
10087,1822
10088,197
10089,1513
10090,514
10091,388
10092,268
10093,415
10094,230
10095,329
10096,3952
10097,106
10098,391
10099,620
10100,882
10101,210
10102,540
10103,457
10104,6499
10105,2843
10106,136
10107,1256
10108,185
10109,1944
10110,2658
10111,1566
10112,1694
10113,2446
10114,1345
10115,4060
10116,4637
10117,247
10118,284
10119,587
10120,162
10121,9503
10122,255
10123,669
10124,849
10125,920
10126,1654
10127,5680
10128,6685
10129,371
10130,2035
10131,17010
10132,393
10133,1261
10134,631
10135,1224
10136,286
10137,396
10138,606
10139,77
10140,1401
10141,297
10142,943
10143,138
10144,1013
10145,137
10146,1682
