CMUN,POPULATION_2020,POPULATION_DENSITY_KM2_2020,AGE_AVERAGE_2020,AGE_PERC_POP_BELOW_18_2020,AGE_PERC_POP_ABOVE_65_2020,HOUSING_AVERAGE_HOUSEHOLD_SIZE_2020,HOUSING_PERC_SINGLEPERSON_HOUSEHOLD_2020,NATIONALITY_PERC_SPANISH_2020,NATIONALITY_PERC_NONSPANISH_2020
03124,580,14.963296100780976,49.5,10.9,27.9,2.16,42.5,90.1,9.900000000000006
03125,596,124.75065992824065,45.4,16.6,22,2.46,28.9,68.8,31.200000000000003
03127,629,19.897413348978603,52.5,8.7,32.9,2.15,38.9,63.2,36.8
03128,11269,349.2653780522779,47.4,14.1,27.9,2.33,31.4,46.6,53.4
03129,1694,24.109099586798386,46.9,13.4,23,2.21,35.3,86.7,13.299999999999997
03130,39,2.4460402838058686,59.2,2.6,46.2,1.86,47.6,67.6,32.400000000000006
03131,327,61.19438998223134,53.7,8.9,35.5,2.27,25.7,60.6,39.4
03132,685,18.810748386669832,50,9.3,28.2,2.19,38,84.4,15.599999999999994
03133,83188,1160.5793397095372,44.6,16.3,22.9,2.3,36.2,59.5,40.5
03134,164,7.190869617813947,55.1,9.2,36,1.86,46.6,90.8,9.200000000000003
03135,208,6.426943724591549,55,3.4,32.2,2.08,46,92.7,7.299999999999997
03136,498,9.303161066117386,52,9,32.9,2.03,46.5,81.3,18.700000000000003
03137,745,32.37608190793651,49.6,12.1,29.8,2.27,34.2,85.4,14.599999999999994
03138,4726,580.3513436445958,43.6,16.6,20.8,2.51,29.7,80.1,19.900000000000006
03139,34471,586.5331192010397,42.7,17,18.1,2.41,32.6,80.5,19.5
03140,33479,97.14020522232337,42.6,18.3,18.6,2.57,26.2,92.6,7.400000000000006
03901,2708,750.9159316761356,51.6,11.9,36,2.16,33.6,51.5,48.5
03902,22055,283.72828335798914,42.8,18.2,20.7,2.55,29.3,60.9,39.1
03903,5093,340.15409448295173,44.5,16.2,22.5,2.43,27.1,63.3,36.7
03904,2146,183.68538965015412,39.2,19.5,13.2,2.59,28.7,85.6,14.400000000000006
04001,1259,27.825033920370046,49.1,11.7,29.5,2.19,37.6,90.2,9.799999999999997
04002,1210,14.458751726155413,49.1,10.2,28.4,2.02,44,90.3,9.700000000000003
04003,25115,279.7939261459977,39.9,19.4,14.6,2.78,23.7,85.5,14.5
04004,723,20.71164304360265,54.7,9.7,40.7,2.01,39.3,63.9,36.1
04005,614,8.802826273528998,50.4,12.4,31.8,2.15,40.2,95.8,4.200000000000003
04006,12069,71.7505258122466,42.3,18,19.9,2.67,27.6,72.9,27.099999999999994
04007,851,12.599062715071197,47.5,11.8,23.4,1.96,46.5,96.8,3.200000000000003
04008,547,5.826093396620208,51.9,9.1,33.8,2.25,41.6,90.6,9.400000000000006
04009,128,8.24777043165841,52.7,4.7,28.1,1.8,56.3,92.3,7.700000000000003
04010,676,41.219054481004555,44.4,12.9,19.1,2.05,42.3,95.7,4.299999999999997
04011,3702,141.0025322924189,42.2,18.2,18.4,2.45,29.7,90.5,9.5
04012,203,34.552079311244704,48.6,9.9,26.1,1.92,47.2,99,1
04013,198354,670.3617864114342,41.1,19.3,16.8,2.65,28.1,88.6,11.400000000000006
04014,198,6.420740662133584,48.7,8.1,19.2,2.08,43.2,90.9,9.099999999999994
04015,132,6.564465953652419,53.1,6.8,29.6,2.03,52.3,91.6,8.400000000000006
04016,3355,33.64249931347303,42.6,17.3,18.6,2.63,28.5,78.4,21.599999999999994
04017,4643,70.21367440385269,55.8,8,41.2,2.24,22.1,32.2,67.8
